RA,DEC
20.0348,-26.853
20.0873,-26.8534
20.2702,-26.8543
20.2301,-26.853
20.1649,-26.8531
20.0506,-26.8531
19.8767,-26.8531
19.8575,-26.853
20.1819,-26.8532
19.8621,-26.8571
19.8751,-26.8533
20.1697,-26.8532
19.8066,-26.8531
20.2404,-26.8542
19.7684,-26.8535
20.1255,-26.8534
20.3538,-26.8531
20.1307,-26.8535
19.7817,-26.8532
20.2379,-26.8533
20.2977,-26.8533
20.0822,-26.8536
19.8706,-26.8534
20.0374,-26.8535
19.9018,-26.8534
19.8555,-26.8535
20.3631,-26.8533
19.9168,-26.8535
19.8899,-26.8535
20.0072,-26.8536
19.8653,-26.8537
19.9131,-26.8537
20.3612,-26.8581
20.2413,-26.8537
20.001,-26.8554
19.8644,-26.8537
20.1982,-26.8539
20.0085,-26.854
19.7865,-26.8538
19.8915,-26.854
20.1221,-26.854
20.2026,-26.854
19.8962,-26.8541
19.9196,-26.8541
20.2228,-26.8542
20.0179,-26.8542
20.3747,-26.8539
20.0463,-26.8542
20.281,-26.854
20.2358,-26.8541
20.07,-26.8542
20.3409,-26.854
20.3468,-26.854
19.9069,-26.8542
20.2861,-26.8541
19.7673,-26.854
20.3355,-26.8541
19.9867,-26.8543
20.1976,-26.8555
19.8396,-26.8542
19.8942,-26.8543
20.2411,-26.8545
19.9994,-26.8544
19.8872,-26.8543
20.3572,-26.8541
20.2838,-26.8543
19.9466,-26.8544
20.1628,-26.8545
19.921,-26.8569
20.2053,-26.8545
20.0414,-26.8547
19.949,-26.8546
20.2899,-26.8563
20.3275,-26.8545
20.0301,-26.8548
19.8409,-26.8546
20.1902,-26.8547
20.1552,-26.8547
20.3463,-26.8546
20.1501,-26.8548
20.1019,-26.8561
20.212,-26.8549
19.995,-26.8549
20.2801,-26.8548
20.0343,-26.855
19.8816,-26.8549
20.3289,-26.8579
20.3191,-26.8549
19.9925,-26.8551
20.2031,-26.8551
20.1725,-26.8562
20.0478,-26.8552
19.8321,-26.855
20.0629,-26.8552
20.2211,-26.8552
20.0821,-26.8553
19.8928,-26.8553
20.3151,-26.8551
20.2345,-26.8553
